,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,21,bébé,baby
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,26,revoir,meet again
24,27,aucune,any
25,28,place,square
26,31,savais,knew
27,32,étaient,were
28,33,attention,Warning
29,34,voici,here is
30,35,pourrais,could
31,36,type,type
32,37,leurs,their
33,38,donné,given
34,39,train,train
35,40,corps,body
36,41,endroit,place
37,42,yeux,eyes
38,44,écoute,listen
39,46,trouve,find
40,47,premier,first
41,48,perdu,lost
42,49,main,hand
43,50,première,first
44,52,pouvoir,power
45,53,vieux,old
46,54,sois,be
47,55,tiens,here
48,56,matin,morning
49,57,tellement,so much
50,58,enfant,child
51,59,point,point
52,60,venu,came
53,61,suite,after
54,62,venez,come
55,63,devant,in front of
56,64,vers,towards
57,65,minutes,minutes
58,66,demandé,request
59,67,chambre,bedroom
60,68,mis,placed
61,69,belle,beautiful
62,70,droit,law
63,71,aimerais,would like to
64,72,aujourd'hui,today
65,73,mari,husband
66,74,cause,cause
67,75,enfin,finally
68,76,eau,water
69,77,attendez,Wait
70,78,parti,left
71,79,nouvelle,new
72,80,boulot,job
73,81,dirait,would say
74,82,terre,Earth
75,83,donne,given
76,84,loin,far
77,85,fin,end
78,86,croire,believe
79,87,chérie,sweetheart
80,89,filles,girls
81,90,jouer,to play
